Obs Type,Source,Species,Depth
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
